,pgnfile,result
0,10001.pgn,1.0
1,10002.pgn,1.0
2,10003.pgn,0.0
3,10004.pgn,1.0
4,10005.pgn,1.0
5,10006.pgn,0.0
6,10007.pgn,1.0
7,10008.pgn,0.0
8,10009.pgn,0.0
9,10010.pgn,0.0
10,10011.pgn,-1.0
11,10012.pgn,0.0
12,10013.pgn,1.0
13,10014.pgn,0.0
14,10015.pgn,0.0
15,10016.pgn,0.0
16,10017.pgn,-1.0
17,10018.pgn,-1.0
18,10019.pgn,0.0
19,10020.pgn,0.0
20,10021.pgn,0.0
21,10022.pgn,1.0
22,10023.pgn,1.0
23,10024.pgn,-1.0
24,10025.pgn,1.0
25,10026.pgn,1.0
26,10027.pgn,0.0
27,10028.pgn,0.0
28,10029.pgn,0.0
29,10030.pgn,-1.0
30,10031.pgn,-1.0
31,10032.pgn,0.0
32,10033.pgn,1.0
33,10034.pgn,1.0
34,10035.pgn,0.0
35,10036.pgn,0.0
36,10037.pgn,1.0
37,10038.pgn,0.0
38,10039.pgn,1.0
39,10040.pgn,0.0
40,10041.pgn,0.0
41,10042.pgn,1.0
42,10043.pgn,1.0
43,10044.pgn,0.0
44,10045.pgn,0.0
45,10046.pgn,-1.0
46,10047.pgn,1.0
47,10048.pgn,0.0
48,10049.pgn,1.0
49,10050.pgn,0.0
50,10051.pgn,1.0
51,10052.pgn,1.0
52,10053.pgn,1.0
53,10054.pgn,1.0
54,10055.pgn,1.0
55,10056.pgn,0.0
56,10057.pgn,0.0
57,10058.pgn,0.0
58,10059.pgn,-1.0
59,10060.pgn,1.0
60,10061.pgn,1.0
61,10062.pgn,0.0
62,10063.pgn,1.0
63,10064.pgn,0.0
64,10065.pgn,0.0
65,10066.pgn,0.0
66,10067.pgn,1.0
67,10068.pgn,-1.0
68,10069.pgn,1.0
69,10070.pgn,0.0
70,10071.pgn,1.0
71,10072.pgn,0.0
72,10073.pgn,0.0
73,10074.pgn,0.0
74,10075.pgn,-1.0
75,10076.pgn,1.0
76,10077.pgn,1.0
77,10078.pgn,1.0
78,10079.pgn,0.0
79,10080.pgn,0.0
80,10081.pgn,0.0
81,10082.pgn,0.0
82,10083.pgn,0.0
83,10084.pgn,0.0
84,10085.pgn,-1.0
85,10086.pgn,-1.0
86,10087.pgn,0.0
87,10088.pgn,-1.0
88,10089.pgn,-1.0
89,10090.pgn,0.0
90,10091.pgn,0.0
91,10092.pgn,-1.0
92,10093.pgn,0.0
93,10094.pgn,0.0
94,10095.pgn,0.0
95,10096.pgn,-1.0
96,10097.pgn,1.0
97,10098.pgn,1.0
98,10099.pgn,0.0
99,10100.pgn,-1.0
100,10101.pgn,1.0
101,10102.pgn,0.0
102,10103.pgn,1.0
103,10104.pgn,0.0
104,10105.pgn,0.0
105,10106.pgn,0.0
106,10107.pgn,1.0
107,10108.pgn,1.0
108,10109.pgn,0.0
109,10110.pgn,1.0
110,10111.pgn,0.0
111,10112.pgn,0.0
112,10113.pgn,0.0
113,10114.pgn,0.0
114,10115.pgn,-1.0
115,10116.pgn,-1.0
116,10117.pgn,0.0
117,10118.pgn,-1.0
118,10119.pgn,0.0
119,10120.pgn,-1.0
120,10121.pgn,1.0
121,10122.pgn,1.0
122,10123.pgn,-1.0
123,10124.pgn,1.0
124,10125.pgn,0.0
125,10126.pgn,1.0
126,10127.pgn,0.0
127,10128.pgn,1.0
128,10129.pgn,1.0
129,10130.pgn,-1.0
130,10131.pgn,-1.0
131,10132.pgn,0.0
132,10133.pgn,0.0
133,10134.pgn,0.0
134,10135.pgn,0.0
135,10136.pgn,0.0
136,10137.pgn,0.0
137,10138.pgn,0.0
138,10139.pgn,1.0
139,10140.pgn,0.0
140,10141.pgn,0.0
141,10142.pgn,0.0
142,10143.pgn,0.0
143,10144.pgn,0.0
144,10145.pgn,0.0
145,10146.pgn,0.0
146,10147.pgn,0.0
147,10148.pgn,0.0
148,10149.pgn,0.0
149,10150.pgn,-1.0
150,10151.pgn,-1.0
151,10152.pgn,1.0
152,10153.pgn,-1.0
153,10154.pgn,1.0
154,10155.pgn,-1.0
155,10156.pgn,-1.0
156,10157.pgn,1.0
157,10158.pgn,-1.0
158,10159.pgn,1.0
159,10160.pgn,1.0
160,10161.pgn,-1.0
161,10162.pgn,1.0
162,10163.pgn,1.0
163,10164.pgn,-1.0
164,10165.pgn,1.0
165,10166.pgn,0.0
166,10167.pgn,-1.0
167,10168.pgn,1.0
168,10169.pgn,0.0
169,10170.pgn,-1.0
170,10171.pgn,1.0
171,10172.pgn,-1.0
172,10173.pgn,0.0
173,10174.pgn,1.0
174,10175.pgn,1.0
175,10176.pgn,0.0
176,10177.pgn,1.0
177,10178.pgn,1.0
178,10179.pgn,0.0
179,10180.pgn,-1.0
180,10181.pgn,0.0
181,10182.pgn,1.0
182,10183.pgn,1.0
183,10184.pgn,1.0
184,10185.pgn,-1.0
185,10186.pgn,0.0
186,10187.pgn,1.0
187,10188.pgn,1.0
188,10189.pgn,-1.0
189,10190.pgn,1.0
190,10191.pgn,-1.0
191,10192.pgn,0.0
192,10193.pgn,0.0
193,10194.pgn,1.0
194,10195.pgn,1.0
195,10196.pgn,1.0
196,10197.pgn,0.0
197,10198.pgn,0.0
198,10199.pgn,1.0
199,10200.pgn,0.0
200,10201.pgn,-1.0
201,10202.pgn,0.0
202,10203.pgn,0.0
203,10204.pgn,1.0
204,10205.pgn,0.0
205,10206.pgn,0.0
206,10207.pgn,-1.0
207,10208.pgn,-1.0
208,10209.pgn,0.0
209,10210.pgn,1.0
210,10211.pgn,0.0
211,10212.pgn,-1.0
212,10213.pgn,1.0
213,10214.pgn,-1.0
214,10215.pgn,0.0
215,10216.pgn,0.0
216,10217.pgn,1.0
217,10218.pgn,1.0
218,10219.pgn,1.0
219,10220.pgn,1.0
220,10221.pgn,0.0
221,10222.pgn,0.0
222,10223.pgn,0.0
223,10224.pgn,1.0
224,10225.pgn,1.0
225,10226.pgn,-1.0
226,10227.pgn,1.0
227,10228.pgn,-1.0
228,10229.pgn,-1.0
229,10230.pgn,1.0
230,10231.pgn,1.0
231,10232.pgn,1.0
232,10233.pgn,0.0
233,10234.pgn,-1.0
234,10235.pgn,1.0
235,10236.pgn,1.0
236,10237.pgn,-1.0
237,10238.pgn,1.0
238,10239.pgn,1.0
239,10240.pgn,1.0
240,10241.pgn,1.0
241,10242.pgn,0.0
242,10243.pgn,-1.0
243,10244.pgn,1.0
244,10245.pgn,0.0
245,10246.pgn,0.0
246,10247.pgn,1.0
247,10248.pgn,-1.0
248,10249.pgn,0.0
249,10250.pgn,1.0
250,10251.pgn,1.0
251,10252.pgn,0.0
252,10253.pgn,-1.0
253,10254.pgn,1.0
254,10255.pgn,1.0
255,10256.pgn,1.0
256,10257.pgn,1.0
257,10258.pgn,-1.0
258,10259.pgn,1.0
259,10260.pgn,0.0
260,10261.pgn,1.0
261,10262.pgn,-1.0
262,10263.pgn,1.0
263,10264.pgn,0.0
264,10265.pgn,0.0
265,10266.pgn,0.0
266,10267.pgn,0.0
267,10268.pgn,0.0
268,10269.pgn,1.0
269,10270.pgn,0.0
270,10271.pgn,0.0
271,10272.pgn,1.0
272,10273.pgn,1.0
